Eco_Reserve,Location,Transect,Plot,Latitude,Longitude,Elevation,Slope,Aspect,Forest_Type,Harvest_History,Age_DBH,Live_Basal_Area,Live_TPH,Large_Live_TPH,Very_Large_Live_TPH,Standing_Dead_TPH,Large_Standing_Dead_TPH,Very_Large_Standing_Dead_TPH,DCWD_Volume,Large_DCWD_Volume
Bigelow,NA,5,3,45.12432662,-70.32300175,522,13,275,120,1,83,17.44164609,416.3856545,69.35985893,9.876194003,59.48366492,0,0,33.88380898,0
Bigelow,NA,5,4,45.12571274,-70.32068138,535,4,325,120,1,73,27.76472205,545.2291783,9.876194003,9.876194003,59.48366492,0,0,40.89425222,0
Bigelow,NA,5,6,45.1287541,-70.31611009,566,87,215,120,1,75,52.9552624,1011.222304,69.35985893,9.876194003,118.9673298,0,0,65.56826322,0
Bigelow,NA,6,1,45.12298698,-70.31585031,532,3,30,120,1,71,32.6758029,892.2549739,9.876194003,9.876194003,237.9346597,0,0,30.27549261,0
Bigelow,NA,6,2,45.12500584,-70.31485405,526,3,180,800,0,78,15.70204119,416.3856545,9.876194003,9.876194003,79.23605293,19.75238801,9.876194003,98.69604401,0
Bigelow,NA,7,1,45.11600962,-70.31905901,388,30,260,120,1,95,12.72159662,297.4183246,0,0,0,0,0,5.807671113,0
Bigelow,NA,7,2,45.11719087,-70.31654346,394,26,55,100,1,128,28.55893419,485.7455134,9.876194003,9.876194003,59.48366492,0,0,112.8887551,0
Bigelow,NA,7,3,45.1180876,-70.31371614,403,25,190,800,1,66,45.68121357,545.2291783,69.35985893,9.876194003,59.48366492,0,0,6.735523895,0
Bigelow,NA,7,4,45.11931666,-70.3109472,450,18,275,800,1,95,19.09669075,713.8039791,0,0,0,0,0,3.436491783,0
Bigelow,NA,7,5,45.12033808,-70.30822425,482,15,175,120,1,NA,52.74208652,1130.189634,69.35985893,9.876194003,59.48366492,0,0,6.357509799,0
Bigelow,NA,7,6,45.12163391,-70.30590163,505,7,15,120,0,58,23.8123487,654.3203142,0,0,118.9673298,0,0,39.41656075,0
Bigelow,NA,8,1,45.12266209,-70.31122727,514,20,145,800,1,92,24.20366169,426.2618485,9.876194003,0,237.9346597,0,0,8.797418965,0
Bigelow,NA,8,2,45.1206383,-70.3103036,479,7,163,120,1,142,24.51312411,535.3529843,0,0,59.48366492,0,0,0,0
Bigelow,NA,8,3,45.1185801,-70.30923935,437,15,230,900,0,77,26.69996388,654.3203142,9.876194003,9.876194003,297.4183246,0,0,44.33933523,0
Bigelow,NA,8,4,45.11652073,-70.30827686,405,7,165,120,1,87,41.74285572,594.8366492,59.48366492,0,0,0,0,26.83900083,0
Bigelow,NA,8,5,45.11450853,-70.30712483,385,54,355,120,1,93,39.82562761,1070.705969,59.48366492,0,118.9673298,0,0,76.80559135,0
Bigelow,NA,8,6,45.11244116,-70.30607332,395,5,120,120,1,60,16.74386065,475.8693194,0,0,178.4509948,0,0,36.97665159,0
Bigelow,NA,9,1,45.14840551,-70.35757413,695,15,335,120,0,NA,19.94430198,416.3856545,0,0,59.48366492,0,0,0,0
Bigelow,NA,9,2,45.14626127,-70.35621304,751,25,355,120,0,NA,0,0,0,0,178.4509948,0,0,215.399305,0
Bigelow,NA,9,3,45.14401757,-70.35488784,820,25,250,120,5,62,32.99736538,1487.091623,0,0,59.48366492,0,0,3.436491783,0
Bigelow,NA,9,4,45.14197979,-70.35365667,878,26,360,120,0,59,22.47905339,892.2549739,0,0,0,0,0,51.82229609,0
Bigelow,NA,9,5,45.13994198,-70.35242558,830,35,255,120,0,68,31.60964318,1249.156963,0,0,0,0,0,8.797418965,0
Bigelow,NA,9,6,45.13773977,-70.3513942,730,40,250,120,0,123,44.86158664,1070.705969,0,0,59.48366492,0,0,46.56446366,0
Bigelow,NA,11,1,45.15277906,-70.25212555,661,35,60,120,0,152,27.40499067,535.3529843,0,0,237.9346597,0,0,76.08392808,0
Bigelow,NA,11,2,45.15067281,-70.2512907,674,55,18,120,0,95,29.32978715,892.2549739,0,0,237.9346597,0,0,63.78128749,0
Bigelow,NA,11,3,45.14883808,-70.25032193,680,97,80,120,0,72,37.39337629,892.2549739,59.48366492,0,0,0,0,0,0
Bigelow,NA,11,4,45.14676007,-70.24937334,660,50,350,120,0,152,28.04377082,773.287644,0,0,59.48366492,0,0,21.7873579,0
Bigelow,NA,11,5,45.14378858,-70.24863428,708,5,330,120,0,142,28.79719783,951.7386388,0,0,59.48366492,0,0,37.73267978,0
Bigelow,NA,11,6,45.14278445,-70.24661539,660,23,125,800,0,175,32.52181918,69.35985893,79.23605293,19.75238801,0,0,0,0,0
Donnell Pond,NA,1,1,44.58732234,-68.11813005,282,22,300,120,5,44,29.97566849,951.7386388,0,0,178.4509948,59.48366492,0,0,0
Donnell Pond,NA,1,2,44.58879045,-68.11589059,290,30,7,120,0,93,24.32536302,832.7713089,9.876194003,9.876194003,237.9346597,0,0,64.15930159,0
Donnell Pond,NA,1,3,44.59016791,-68.1135768,250,25,60,120,0,110,32.1170513,535.3529843,128.8435239,9.876194003,0,0,0,72.40688187,0
